transcript,moduleColor,cluster_id
AT1G01510.1,black,1A
AT1G02780.1,black,1A
AT1G03590.1,black,1A
AT1G04250.1,black,1A
AT1G04270.1,black,1A
AT1G06570.1,black,1A
AT1G06570.2,black,1A
AT1G07360.1,black,1A
AT1G07450.1,black,1A
AT1G07590.1,black,1A
AT1G07600.1,black,1A
AT1G07650.4,black,1A
AT1G07920.1,black,1A
AT1G07930.1,black,1A
AT1G07940.1,black,1A
AT1G08360.1,black,1A
AT1G08520.1,black,1A
AT1G08640.1,black,1A
AT1G09620.1,black,1A
AT1G09690.1,black,1A
AT1G10020.1,black,1A
AT1G10840.1,black,1A
AT1G10900.1,black,1A
AT1G11430.1,black,1A
AT1G12500.1,black,1A
AT1G13820.1,black,1A
AT1G14300.1,black,1A
AT1G14320.1,black,1A
AT1G14810.1,black,1A
AT1G15180.1,black,1A
AT1G15390.1,black,1A
AT1G15730.1,black,1A
AT1G15825.1,black,1A
AT1G15930.2,black,1A
AT1G15950.3,black,1A
AT1G16390.1,black,1A
AT1G16610.1,black,1A
AT1G17880.1,black,1A
AT1G18080.1,black,1A
AT1G18460.1,black,1A
AT1G18540.1,black,1A
AT1G18810.1,black,1A
AT1G19220.1,black,1A
AT1G19450.1,black,1A
AT1G22780.1,black,1A
AT1G23290.1,black,1A
AT1G23300.1,black,1A
AT1G24510.1,black,1A
AT1G26460.1,black,1A
AT1G26761.1,black,1A
AT1G26880.1,black,1A
AT1G28010.1,black,1A
AT1G29250.1,black,1A
AT1G30690.1,black,1A
AT1G31710.1,black,1A
AT1G31920.1,black,1A
AT1G32220.1,black,1A
AT1G32780.1,black,1A
AT1G33120.1,black,1A
AT1G34030.1,black,1A
AT1G34760.1,black,1A
AT1G41880.1,black,1A
AT1G43170.1,black,1A
AT1G44800.1,black,1A
AT1G48120.1,black,1A
AT1G48260.1,black,1A
AT1G48630.1,black,1A
AT1G48830.1,black,1A
AT1G49410.1,black,1A
AT1G49510.1,black,1A
AT1G52300.1,black,1A
AT1G53670.1,black,1A
AT1G56050.1,black,1A
AT1G56070.1,black,1A
AT1G57660.1,black,1A
AT1G57720.1,black,1A
AT1G58290.1,black,1A
AT1G60950.1,black,1A
AT1G64740.1,black,1A
AT1G65590.1,black,1A
AT1G66230.1,black,1A
AT1G67430.1,black,1A
AT1G69620.1,black,1A
AT1G70350.1,black,1A
AT1G70600.1,black,1A
AT1G71890.1,black,1A
AT1G72250.4,black,1A
AT1G72370.1,black,1A
AT1G72500.1,black,1A
AT1G73230.1,black,1A
AT1G74050.1,black,1A
AT1G74060.1,black,1A
AT1G74470.1,black,1A
AT1G75100.1,black,1A
AT1G76540.1,black,1A
AT1G77940.1,black,1A
AT1G78820.1,black,1A
AT1G78915.1,black,1A
AT1G79060.1,black,1A
AT1G79530.1,black,1A
AT1G79600.1,black,1A
AT1G79770.1,black,1A
AT2G01250.1,black,1A
AT2G02740.1,black,1A
AT2G03750.1,black,1A
AT2G04390.1,black,1A
AT2G05220.1,black,1A
AT2G17360.1,black,1A
AT2G18020.1,black,1A
AT2G18560.1,black,1A
AT2G19750.1,black,1A
AT2G20450.1,black,1A
AT2G20490.1,black,1A
AT2G20530.1,black,1A
AT2G20750.1,black,1A
AT2G21580.1,black,1A
AT2G22330.1,black,1A
AT2G23350.1,black,1A
AT2G25210.1,black,1A
AT2G26690.1,black,1A
AT2G27360.1,black,1A
AT2G27530.1,black,1A
AT2G27710.2,black,1A
AT2G27710.4,black,1A
AT2G27720.1,black,1A
AT2G27810.1,black,1A
AT2G30470.1,black,1A
AT2G30520.1,black,1A
AT2G31380.1,black,1A
AT2G31610.1,black,1A
AT2G31840.1,black,1A
AT2G32450.1,black,1A
AT2G33180.1,black,1A
AT2G33700.1,black,1A
AT2G34480.1,black,1A
AT2G35060.3,black,1A
AT2G35260.1,black,1A
AT2G35500.1,black,1A
AT2G36160.1,black,1A
AT2G36170.1,black,1A
AT2G36620.1,black,1A
AT2G37180.1,black,1A
AT2G40008.1,black,1A
AT2G40010.1,black,1A
AT2G40400.1,black,1A
AT2G40510.1,black,1A
AT2G41250.1,black,1A
AT2G41840.1,black,1A
AT2G42740.1,black,1A
AT2G44050.1,black,1A
AT2G44120.1,black,1A
AT2G44640.1,black,1A
AT2G45970.1,black,1A
AT2G46340.1,black,1A
AT2G46610.1,black,1A
AT2G47110.1,black,1A
AT2G47440.1,black,1A
AT2G47610.1,black,1A
AT2G48010.1,black,1A
AT3G01060.1,black,1A
AT3G02080.1,black,1A
AT3G02560.1,black,1A
AT3G02880.1,black,1A
AT3G03630.1,black,1A
AT3G03920.1,black,1A
AT3G04000.1,black,1A
AT3G04120.1,black,1A
AT3G04260.1,black,1A
AT3G04840.1,black,1A
AT3G04920.1,black,1A
AT3G05560.1,black,1A
AT3G05590.1,black,1A
AT3G06680.2,black,1A
AT3G06700.1,black,1A
AT3G06760.1,black,1A
AT3G07110.1,black,1A
AT3G07430.1,black,1A
AT3G09200.1,black,1A
AT3G09500.1,black,1A
AT3G09630.1,black,1A
AT3G10760.1,black,1A
AT3G11400.1,black,1A
AT3G11510.1,black,1A
AT3G11940.2,black,1A
AT3G12250.6,black,1A
AT3G13060.1,black,1A
AT3G13180.1,black,1A
AT3G13882.1,black,1A
AT3G14600.1,black,1A
AT3G14900.1,black,1A
AT3G15115.1,black,1A
AT3G16520.3,black,1A
AT3G16780.1,black,1A
AT3G17170.1,black,1A
AT3G17510.1,black,1A
AT3G18740.1,black,1A
AT3G18890.1,black,1A
AT3G18980.1,black,1A
AT3G21200.1,black,1A
AT3G22230.1,black,1A
AT3G22890.1,black,1A
AT3G23390.1,black,1A
AT3G23750.1,black,1A
AT3G24830.1,black,1A
AT3G25470.1,black,1A
AT3G25520.1,black,1A
AT3G27540.1,black,1A
AT3G27740.1,black,1A
AT3G28900.1,black,1A
AT3G43980.1,black,1A
AT3G44010.2,black,1A
AT3G44890.1,black,1A
AT3G45030.1,black,1A
AT3G46040.1,black,1A
AT3G46560.1,black,1A
AT3G46740.1,black,1A
AT3G46780.1,black,1A
AT3G47370.1,black,1A
AT3G48930.1,black,1A
AT3G49430.1,black,1A
AT3G49560.1,black,1A
AT3G49910.1,black,1A
AT3G49940.1,black,1A
AT3G50685.1,black,1A
AT3G50820.1,black,1A
AT3G51530.1,black,1A
AT3G52380.1,black,1A
AT3G52580.1,black,1A
AT3G52590.1,black,1A
AT3G53020.1,black,1A
AT3G53420.1,black,1A
AT3G53430.1,black,1A
AT3G53870.1,black,1A
AT3G53890.1,black,1A
AT3G54460.1,black,1A
AT3G54500.1,black,1A
AT3G54890.4,black,1A
AT3G55620.1,black,1A
AT3G55750.1,black,1A
AT3G55960.1,black,1A
AT3G56080.1,black,1A
AT3G56340.1,black,1A
AT3G56940.1,black,1A
AT3G57030.1,black,1A
AT3G57610.1,black,1A
AT3G59400.1,black,1A
AT3G59410.3,black,1A
AT3G59540.1,black,1A
AT3G59650.1,black,1A
AT3G59890.1,black,1A
AT3G60245.1,black,1A
AT3G60770.1,black,1A
AT3G61110.1,black,1A
AT3G61430.1,black,1A
AT3G61590.1,black,1A
AT3G62530.1,black,1A
AT3G62870.1,black,1A
AT4G00100.1,black,1A
AT4G00430.1,black,1A
AT4G01050.1,black,1A
AT4G01150.1,black,1A
AT4G02850.1,black,1A
AT4G02920.1,black,1A
AT4G03110.1,black,1A
AT4G03110.2,black,1A
AT4G08815.1,black,1A
AT4G08930.1,black,1A
AT4G09320.1,black,1A
AT4G09800.1,black,1A
AT4G10150.1,black,1A
AT4G10330.1,black,1A
AT4G10480.1,black,1A
AT4G12600.1,black,1A
AT4G13170.1,black,1A
AT4G13340.1,black,1A
AT4G13495.2,black,1A
AT4G13575.2,black,1A
AT4G13577.1,black,1A
AT4G13615.1,black,1A
AT4G14320.1,black,1A
AT4G14560.1,black,1A
AT4G15000.1,black,1A
AT4G15560.1,black,1A
AT4G16720.1,black,1A
AT4G17390.1,black,1A
