AT1G13650.1,AT3G55450.1,AT1G02930.2,AT1G79500.3,AT5G24850.1,AT5G06870.1,AT5G41460.1,AT5G01820.1,AT4G08870.1,AT1G75100.1,AT2G29650.2,AT5G06690.1,AT3G17609.2,AT4G15690.1,AT1G06040.1
1,0.138121739,0.608841562,0.060122883,0.922178972,0.110768391,0.628006825,0.783647722,1,0.873034025,0.400696718,0,0.999700804,0.246947809,0.552596093
0.626344054,0,0.225845988,0.274290102,0.377135581,0.609491361,0.038915606,0.642594805,0.648570697,0.920433922,0.877534989,0.061384199,0.58789825,0.736045127,1
0.086094068,0.379969585,0.06357519,0.625783612,0,1,0.040173726,0.692260874,0.175456265,0.290409191,0.831320594,0.696901009,0.021615325,0.926503167,0.875342341
0,0.934044906,0.047494696,1,0.006897719,0.706615528,0.316836342,0.178395512,0.035193891,0,0.140286958,0.958727256,0,0.680714648,0.192402212
0.079774,0.898355546,0.482718389,0.457479982,0.758574025,0.138287019,0.833312436,0.031426141,0.240271738,0.224738421,0.023227797,0.865900631,0.421338742,0.11108462,0
0.4496474,0.426901204,1,0.25459022,0.955361073,0,1,0.127500876,0.816427274,0.61916171,0.00485486,0.30157144,1,0,0.080630974
0.982121911,0.082802346,0.816122342,0,1,0.088263413,0.41547062,0.728364875,0.935699202,1,0.591295064,0.016155355,0.970795554,0.312503207,0.591587445
0.681913622,0.005377478,0,0.18367861,0.404411086,0.82999265,0,1,0.674771021,0.863432682,0.769626813,0.108815752,0.438630878,0.732050229,0.991830724
0.045261529,0.427342705,0.196797081,0.932331651,0.092435314,0.799544211,0.005297928,0.738283884,0.124355984,0.43319983,1,0.833746647,0.039878141,1,0.895122769
0.001751006,1,0.042752512,0.887019363,0.156935693,0.691865861,0.347904651,0.228681112,0,0.059986093,0.27074464,1,0.075141743,0.551479359,0.175093092
0.052451457,0.83638434,0.387471711,0.634639381,0.549923145,0.187673458,0.919816874,0,0.279203519,0.275323711,0,0.91742912,0.420139475,0.012711596,0.013173875
0.510668861,0.417407399,0.391189208,0.174007931,0.908905609,0.166689568,0.784675164,0.254707349,0.673680336,0.577424299,0.097447839,0.250065647,0.815654514,0.081376428,0.128916098
