"CycID","filter_type","ar_method","period_number","period","amplitude","phase","mean","R_square","R2_adjust","coef_var","pvalue","fdr_BH"
"AT1G01050.1","1","burg","1","21.8142076502732","1.1760794967613","17.3637139027636","5.48172618408671e-16","0.783113425387988","0.734916408807541","1824242887036150","0.00103049766985752","0.0032882657434416"
"AT1G01060.1","1","default","1","24","1.20556303122219","0.574086893953338","-1.04083408558608e-16","0.727536554100153","0.666989121677964","-9607679205057058","0.00287665051255548","0.00648250731561306"
"AT1G01060.2","0","yule-walker","1","23.9041916167665","1.23083853901005","22.8034786601048","-1.61905265669976e-16","0.851788988641219","0.818853208339268","-6176451370262268","0.000185764241516284","0.00124706680588387"
"AT1G01060.4","1","default","1","24","1.1911532352731","23.1192165390313","3.24040924301605e-17","0.796867043473203","0.751726386467248","30860299579606108","0.000767382256250504","0.00274058320298976"
"AT1G01060.7","0","yule-walker","1","23.6213017751479","1.1952211409591","22.1474433385934","-1.0321604682062e-16","0.789778690077465","0.743062843428013","-9688416005099554","0.000895458205866118","0.00300670113026591"
"AT1G01080.1","1","mle","1","20.2639593908629","1.05377232115317","17.1096930010788","1.44849410244063e-16","0.575814471572941","0.481551020811373","6903721584472138","0.0210863453911588","0.031500128937264"
"AT1G01080.3","1","mle","1","23.6213017751479","0.801329276496152","12.6563704964591","3.40005801291454e-16","0.322753926096991","0.172254798562989","2941126287262365","0.17312477906936","0.205926244101839"
"AT1G01090.1","1","yule-walker","1","27.3424657534247","1.18825696773905","6.58743634290476","1.50834206236183e-15","0.72975576564301","0.669701491341457","662979588618084","0.00277270692348985","0.00631188589036484"
"AT1G01100.1","1","mle","1","20.7916666666667","0.994048592455593","2.94899311978705","1.38777878078145e-17","0.534687297220681","0.431284474380832","72057594037927936","0.0319780582388322","0.0455187426728035"
"AT1G01100.2","0","burg","1","21.5783783783784","0.769394950138756","1.76716631323029","5.23886489744996e-16","0.310687758690406","0.157507260621607","1908810438090806","0.187444179746287","0.221161564594027"
"AT1G01100.3","0","yule-walker","1","21.9340659340659","0.426255780642977","5.84154230036206","-3.29597460435593e-16","0.106734353455215","-0.0917691235547369","-3034003959491703","0.601745490609522","0.63193656424513"
"AT1G01100.4","1","mle","1","25.5897435897436","0.896357731190658","22.2061743130832","-6.88106978804133e-17","0.370352490281886","0.230430821455638","-14532624007649332","0.124720747535985","0.153123550749138"
"AT1G01120.1","0","burg","1","21.695652173913","1.08850673207739","3.12386581971828","1.34179053863185e-16","0.585011797479429","0.492792196919302","7452728061562002","0.0191056086454697","0.0289450096130239"
"AT1G01140.1","0","default","1","24","0.670438831707053","0.956872581222636","7.44779129861761e-16","0.225214626790739","0.0530400994109032","1342679943496283","0.317187716103892","0.354633992663984"
"AT1G01160.1","0","mle","1","20.4717948717949","1.16143244243684","17.7170739398341","-2.62526003540209e-16","0.76173532624239","0.708787620962921","-3809146471263136","0.00157314391441499","0.00427312075127176"
"AT1G01170.1","0","mle","1","23.4823529411765","1.22760992430027","12.0067940126221","-3.93191564738183e-16","0.870006827742734","0.841119456130009","-2543289555730617","0.000102953813850615","0.000927874798725147"
"AT1G01170.2","0","default","1","24","0.732671023565346","16.7507844272483","3.58516294632118e-16","0.26973802043422","0.107457580530713","2789273500179743","0.243026764686828","0.279276707427057"
"AT1G01210.1","0","burg","1","21.695652173913","1.08801061128156","19.4084084525988","2.86805355940306e-16","0.591925748875814","0.501242581959328","3486685235432402","0.0177143966688411","0.0271287621611016"
"AT1G01210.3","0","burg","1","23.7619047619048","0.885472325812504","20.6399693600043","8.85856420047385e-16","0.395750025290114","0.261472253132361","1128851106533166","0.103627467329376","0.129719423273101"
"AT1G01220.1","0","mle","1","20.3673469387755","1.10527509498282","15.6847936945063","-2.34760828217844e-16","0.691186656504003","0.622561469060448","-4259654421869982","0.00505396533315228","0.00984569661599949"
"AT1G01230.1","1","mle","1","23.9041916167665","1.31305348089752","10.8536190472155","-1.06414443229452e-16","0.869919781618161","0.841013066422197","-9397220618293200","0.000103264407634307","0.000927874798725147"
"AT1G01240.1","0","mle","1","23.2093023255814","1.35343579480388","8.5580315855285","-2.82154580371248e-16","0.940091264582083","0.92677821226699","-3544156535343986","3.15286725283137e-06","0.000155171933816326"
"AT1G01300.1","0","burg","1","23.2093023255814","1.2355143565644","14.3160767614148","-7.71084585071691e-16","0.748792784710206","0.692968959090252","-1296874583359783","0.00199592625771206","0.00502742131217213"
"AT1G01320.3","0","burg","1","21.0105263157895","1.18420134262223","19.2922346483611","3.28418390573015e-16","0.765919049906232","0.713901060996506","3044896475666992","0.0014526042878612","0.00406532332643439"
"AT1G01360.1","0","burg","1","20.7916666666667","1.2267917332284","16.6470539488551","6.29921462214078e-17","0.748246363182464","0.692301110556344","15874994899922162","0.00201553752769756","0.00506248392056789"
"AT1G01430.1","1","default","1","24","1.15576703283641","5.56378346107886","1.15648231731787e-16","0.759400541322982","0.705933994950311","8646911284551352","0.00164371268408525","0.00439356269056402"
"AT1G01470.1","1","mle","1","24.4907975460123","1.26136009573263","12.4689528567171","5.31914103330441e-17","0.860516326228955","0.829519954279834","18800027931930408","0.000141369329621499","0.001086597620789"
"AT1G01490.1","0","default","1","24","0.749906606178439","0.849125081136975","3.60822483003176e-16","0.296315734103391","0.139941452793033","2771445924535689","0.205683892299666","0.24051744451812"
"AT1G01500.1","0","mle","1","24.0481927710843","1.38763532139479","10.0246103139197","-8.67361737988404e-17","0.970871315426457","0.964398274410115","-11529215046068470","1.22869453722529e-07","3.86361446905648e-05"
"AT1G01520.1","1","default","1","24","1.31451078855887","23.07617773618","1.59025353649311e-16","0.888272348367359","0.863443981337883","6288305462317897","5.20862411781398e-05","0.000661169366612523"
