"CycID","BH.Q","ADJ.P","PER","LAG","AMP"
"AT1G01050.1","0.00810747064554171","0.00193362193362193","24","18","1.22736046359982"
"AT1G01060.1","0.0135213877612389","0.00432043650793651","24","2","0.939578117174382"
"AT1G01060.2","0.0135213877612389","0.00432043650793651","24","0","0.993548946412915"
"AT1G01060.4","0.00118699151043509","2.63798701298701e-05","24","0","0.905287865544126"
"AT1G01060.7","0.0135213877612389","0.00432043650793651","24","0","1.01427551057918"
"AT1G01080.1","0.0601338460704449","0.0324589646464646","24","18","0.807033187721209"
"AT1G01080.3","1","1","28","12","0.947403144867136"
"AT1G01090.1","0.147746940602152","0.0968455387205387","28","8","1.26770076250745"
"AT1G01100.1","0.222989551992916","0.15763918951419","20","4","0.835437170958432"
"AT1G01100.2","0.33011780973387","0.247873827561328","24","0","0.534375004040996"
"AT1G01100.3","1","1","28","6","0.498499358256929"
"AT1G01100.4","1","1","28","22","1.15952201316498"
"AT1G01120.1","0.478586537290715","0.377646329365079","24","2","1.06704395709838"
"AT1G01140.1","1","1","28","0","1.39440070742384"
"AT1G01160.1","0.0951258524510643","0.0572696458633959","24","18","0.844375374137618"
"AT1G01170.1","0.00195626018726725","9.57491582491583e-05","24","14","1.09339132630731"
"AT1G01170.2","0.478586537290715","0.377646329365079","28","20","0.559232775042523"
"AT1G01210.1","0.0135213877612389","0.00432043650793651","24","20","1.1299837617207"
"AT1G01210.3","0.942899444483651","0.805264174482925","24","22","0.867919971252377"
"AT1G01220.1","0.037129816454249","0.0175406595719096","24","14","0.799867508628353"
"AT1G01230.1","0.00318510085246977","0.000294161856661857","24","12","1.12322588232009"
"AT1G01240.1","0.00318510085246977","0.000294161856661857","24","10","1.17817309267877"
"AT1G01300.1","0.0951258524510643","0.0572696458633959","28","12","1.18540208123772"
"AT1G01320.3","0.00810747064554171","0.00193362193362193","24","20","1.25076516142129"
"AT1G01360.1","0.0225061986539284","0.0089799031986532","24","16","1.16294746960191"
"AT1G01430.1","0.00195626018726725","9.57491582491583e-05","24","6","1.29529663517522"
"AT1G01470.1","0.00118699151043509","2.63798701298701e-05","24","14","1.19015075973771"
"AT1G01490.1","1","1","28","0","1.37048549355575"
"AT1G01500.1","0.0225061986539284","0.0089799031986532","28","8","1.35794436531563"
"AT1G01520.1","0.00118699151043509","1.60834535834536e-05","24","0","1.23316512522092"
"AT1G01540.2","0.037129816454249","0.0175406595719096","24","22","1.12619923785924"
"AT1G01550.1","0.679189801104077","0.558904371091871","24","14","0.647195460937718"
"AT1G01610.1","0.0951258524510643","0.0572696458633959","20","2","1.04806203429317"
"AT1G01620.1","0.0951258524510643","0.0572696458633959","24","8","1.17393156285596"
"AT1G01620.2","0.416197646415246","0.312760078463203","24","4","1.11566887027459"
"AT1G01630.1","0.147746940602152","0.0968455387205387","24","22","0.923987942411539"
"AT1G01650.1","0.679189801104077","0.558904371091871","24","18","0.905112381223284"
"AT1G01710.1","0.942899444483651","0.805264174482925","28","18","1.11139637185841"
"AT1G01720.1","0.0951258524510643","0.0572696458633959","28","16","0.683348154006314"
"AT1G01730.1","0.0135213877612389","0.00432043650793651","24","14","1.36718353256418"
"AT1G01770.1","1","1","20","14","1.00839937657209"
"AT1G01790.1","0.00810747064554171","0.00193362193362193","24","20","1.48622824859881"
"AT1G01800.1","0.037129816454249","0.0175406595719096","24","16","1.33640401321673"
"AT1G01820.1","0.037129816454249","0.0175406595719096","24","14","1.39478394283695"
"AT1G01860.1","0.222989551992916","0.15763918951419","24","20","0.881731355129202"
"AT1G01910.1","1","1","28","14","0.551475386475238"
"AT1G01910.2","0.679189801104077","0.558904371091871","24","14","0.611569604990109"
"AT1G01910.4","1","1","20","10","0.667033186952765"
"AT1G01940.1","0.037129816454249","0.0175406595719096","24","16","1.27147314237646"
"AT1G01950.1","0.0951258524510643","0.0572696458633959","24","20","1.38790135578973"
"AT1G01960.1","0.222989551992916","0.15763918951419","24","14","0.877369388465601"
"AT1G01970.1","0.0225061986539284","0.0089799031986532","28","14","1.41960989321301"
"AT1G02080.2","1","1","20","18","1.1326704811444"
"AT1G02080.3","1","1","24","22","0.382768102612305"
"AT1G02090.1","0.00810747064554171","0.00193362193362193","24","16","1.07633004136543"
"AT1G02090.2","0.147746940602152","0.0968455387205387","20","0","0.988912085085746"
"AT1G02100.3","0.00318510085246977","0.000294161856661857","24","14","1.35244277214677"
"AT1G02120.1","0.0601338460704449","0.0324589646464646","24","16","0.885304168928497"
"AT1G02120.2","0.147746940602152","0.0968455387205387","24","20","0.630593623592097"
"AT1G02130.1","0.037129816454249","0.0175406595719096","24","12","1.18235473530567"
"AT1G02140.1","0.0135213877612389","0.00432043650793651","24","22","0.958781493938531"
"AT1G02145.3","0.147746940602152","0.0968455387205387","20","0","0.928057180831425"
"AT1G02150.1","1","1","28","0","0.871292370419083"
"AT1G02160.1","0.00810747064554171","0.00193362193362193","24","12","0.923720199751866"
"AT1G02170.1","0.147746940602152","0.0968455387205387","24","16","0.730385446162125"
"AT1G02205.1","1","1","24","22","0.198418859013697"
"AT1G02205.2","1","1","28","26","0.799435184152333"
"AT1G02205.3","0.147746940602152","0.0968455387205387","24","18","0.313896731310995"
"AT1G02205.4","1","1","20","14","0.259227458184522"
"AT1G02270.1","0.00810747064554171","0.00193362193362193","24","12","1.26405342732844"
"AT1G02280.1","0.0135213877612389","0.00432043650793651","24","6","0.760826622157115"
"AT1G02280.2","0.33011780973387","0.247873827561328","24","18","0.30618842063225"
"AT1G02300.1","0.147746940602152","0.0968455387205387","24","12","1.10869257813712"
"AT1G02305.1","0.00504426125616406","0.000794327200577201","24","14","1.24773968385508"
"AT1G02330.1","1","1","28","22","0.782809148885718"
"AT1G02335.1","0.679189801104077","0.558904371091871","24","12","1.04101673499001"
"AT1G02340.1","0.0225061986539284","0.0089799031986532","24","8","0.838697179071303"
"AT1G02410.1","0.00504426125616406","0.000794327200577201","24","18","1.21417432292379"
"AT1G02475.1","0.00810747064554171","0.00193362193362193","24","16","1.25563752074187"
"AT1G02500.1","0.00504426125616406","0.000794327200577201","24","14","0.975139308920664"
"AT1G02500.2","0.0135213877612389","0.00432043650793651","24","18","1.09919726898121"
"AT1G02560.1","0.00118699151043509","2.63798701298701e-05","24","14","1.24083397112553"
"AT1G02610.1","0.00504426125616406","0.000794327200577201","28","6","0.532127248110194"
"AT1G02640.1","0.0135213877612389","0.00432043650793651","24","6","1.18740289780541"
"AT1G02680.1","0.0951258524510643","0.0572696458633959","20","18","0.96204544881721"
"AT1G02705.1","0.037129816454249","0.0175406595719096","24","20","1.21242646532446"
"AT1G02710.1","0.0601338460704449","0.0324589646464646","24","22","1.35699152670673"
"AT1G02730.1","0.679189801104077","0.558904371091871","20","12","0.502839322112101"
"AT1G02780.1","0.0225061986539284","0.0089799031986532","24","0","1.10644810753834"
"AT1G02820.1","0.00504426125616406","0.000794327200577201","24","0","0.914400198666892"
"AT1G02840.1","1","1","20","14","1.06865626401373"
"AT1G02840.2","1","1","28","12","0.931755901814858"
"AT1G02840.5","0.478586537290715","0.377646329365079","28","24","1.15721758161038"
"AT1G02850.1","0.00504426125616406","0.000794327200577201","24","18","1.0117940070107"
"AT1G02870.1","0.0135213877612389","0.00432043650793651","24","0","0.924698585158626"
"AT1G02880.3","0.147746940602152","0.0968455387205387","28","20","1.39691473985032"
"AT1G02880.4","0.942899444483651","0.805264174482925","20","18","0.581894904602527"
"AT1G02890.1","0.147746940602152","0.0968455387205387","20","18","1.12396480687951"
"AT1G02910.1","0.00195626018726725","9.57491582491583e-05","24","18","1.11890485364333"
"AT1G02920.1","0.33011780973387","0.247873827561328","28","14","1.08235717395709"
